text,genre,size,lang
,,,
EN_1_104,academic,9998,en
EN_1_140,academic,1775,en
EN_1_187,academic,3303,en
EN_1_243,academic,3853,en
EN_1_249,academic,474,en
EN_1_94,academic,9831,en
EN_4_40,academic,10276,en
EN_4_46,academic,3644,en
EN_6_9,academic,379,en
RU_1_135,academic,510,ru
RU_1_152,academic,105,ru
RU_1_153,academic,116,ru
RU_1_154,academic,154,ru
RU_1_156,academic,96,ru
RU_1_157,academic,270,ru
RU_1_158,academic,119,ru
RU_1_159,academic,80,ru
RU_1_190,academic,331,ru
RU_1_250,academic,475,ru
RU_1_251,academic,471,ru
RU_1_252,academic,442,ru
RU_1_253,academic,381,ru
RU_1_254,academic,500,ru
RU_1_255,academic,429,ru
RU_1_256,academic,489,ru
RU_1_257,academic,535,ru
RU_1_258,academic,398,ru
RU_1_259,academic,400,ru
EN_1_111,advertisement,103,en
EN_1_112,advertisement,80,en
EN_1_13,advertisement,398,en
EN_1_278,advertisement,1328,en
EN_1_284,advertisement,290,en
EN_1_285,advertisement,261,en
EN_1_311,advertisement,533,en
EN_1_103,educational,8907,en
EN_1_11,educational,335,en
EN_1_125,educational,10445,en
EN_1_130,educational,403,en
EN_1_131,educational,403,en
EN_1_138,educational,10437,en
EN_1_142,educational,10029,en
EN_1_146,educational,282,en
EN_1_148,educational,230,en
EN_1_20,educational,546,en
EN_1_260,educational,416,en
EN_1_264,educational,327,en
EN_1_266,educational,514,en
EN_1_299,educational,460,en
EN_1_300,educational,415,en
EN_1_302,educational,460,en
EN_1_312,educational,922,en
EN_1_34,educational,10327,en
EN_1_39,educational,10300,en
EN_1_64,educational,8470,en
EN_1_66,educational,8332,en
EN_1_74,educational,131,en
EN_1_75,educational,154,en
EN_1_76,educational,343,en
EN_1_77,educational,173,en
EN_1_82,educational,337,en
EN_1_83,educational,417,en
EN_1_88,educational,4173,en
EN_1_89,educational,2082,en
EN_1_90,educational,691,en
EN_1_91,educational,680,en
EN_1_92,educational,1591,en
EN_1_93,educational,10010,en
EN_1_95,educational,8541,en
EN_3_1,educational,195,en
EN_3_15,educational,3761,en
EN_3_2,educational,190,en
EN_3_5,educational,457,en
EN_3_6,educational,363,en
EN_3_7,educational,330,en
EN_3_8,educational,188,en
EN_3_9,educational,224,en
EN_5_11,educational,251,en
EN_5_4,educational,509,en
EN_5_9,educational,261,en
EN_6_2,educational,523,en
EN_6_3,educational,608,en
RU_1_115,educational,416,ru
RU_1_160 ,educational,560,ru
RU_4_21,educational,1621,ru
EN_1_1,essay,533,en
EN_1_101,essay,689,en
EN_1_12,essay,233,en
EN_1_126,essay,332,en
EN_1_127,essay,334,en
EN_1_128,essay,218,en
EN_1_129,essay,364,en
EN_1_132,essay,617,en
EN_1_134,essay,370,en
EN_1_136,essay,472,en
EN_1_139,essay,9138,en
EN_1_143,essay,302,en
EN_1_147,essay,8735,en
EN_1_169,essay,352,en
EN_1_170,essay,584,en
EN_1_174,essay,554,en
EN_1_175,essay,523,en
EN_1_176,essay,655,en
EN_1_178,essay,730,en
EN_1_179,essay,1100,en
EN_1_180,essay,1090,en
EN_1_181,essay,331,en
EN_1_182,essay,1306,en
EN_1_184,essay,483,en
EN_1_185,essay,471,en
EN_1_186,essay,1131,en
EN_1_19,essay,812,en
EN_1_196,essay,484,en
EN_1_2,essay,700,en
EN_1_200,essay,338,en
EN_1_203,essay,416,en
EN_1_204,essay,309,en
EN_1_205,essay,291,en
EN_1_206,essay,300,en
EN_1_207,essay,294,en
EN_1_208,essay,306,en
EN_1_209,essay,277,en
EN_1_210,essay,356,en
EN_1_211,essay,322,en
EN_1_212,essay,293,en
EN_1_213,essay,397,en
EN_1_22,essay,544,en
EN_1_23,essay,680,en
EN_1_233,essay,358,en
EN_1_235,essay,364,en
EN_1_237,essay,771,en
EN_1_240,essay,372,en
EN_1_241,essay,403,en
EN_1_245,essay,546,en
EN_1_247,essay,1592,en
EN_1_248,essay,552,en
EN_1_25,essay,694,en
EN_1_26,essay,433,en
EN_1_261,essay,338,en
EN_1_262,essay,357,en
EN_1_263,essay,251,en
EN_1_265,essay,433,en
EN_1_273,essay,854,en
EN_1_283,essay,1035,en
EN_1_286,essay,1039,en
EN_1_288,essay,883,en
EN_1_289,essay,260,en
EN_1_29,essay,290,en
EN_1_290,essay,738,en
EN_1_292,essay,258,en
EN_1_293,essay,951,en
EN_1_294,essay,860,en
EN_1_295,essay,967,en
EN_1_296,essay,364,en
EN_1_298,essay,920,en
EN_1_3,essay,642,en
EN_1_30,essay,197,en
EN_1_304,essay,437,en
EN_1_305,essay,503,en
EN_1_306,essay,578,en
EN_1_307,essay,405,en
EN_1_31,essay,199,en
EN_1_315,essay,833,en
EN_1_33,essay,216,en
EN_1_4,essay,481,en
EN_1_5,essay,891,en
EN_1_50,essay,437,en
EN_1_51,essay,417,en
EN_1_6,essay,539,en
EN_1_61,essay,448,en
EN_1_67,essay,9696,en
EN_1_7,essay,406,en
EN_1_79,essay,513,en
EN_1_8,essay,346,en
EN_1_81,essay,303,en
EN_1_84,essay,607,en
EN_1_86,essay,601,en
EN_1_96,essay,437,en
EN_1_98,essay,409,en
EN_3_11,essay,437,en
EN_3_12,essay,513,en
EN_3_13,essay,358,en
EN_3_14,essay,730,en
EN_4_16,essay,982,en
EN_4_17,essay,949,en
EN_4_18,essay,1287,en
EN_4_19,essay,970,en
EN_4_31,essay,878,en
EN_4_32,essay,12582,en
EN_4_33,essay,869,en
EN_4_34,essay,1000,en
EN_4_35,essay,998,en
EN_4_36,essay,1022,en
EN_4_37,essay,2068,en
EN_4_38,essay,1073,en
EN_4_39,essay,1015,en
EN_4_41,essay,615,en
EN_4_42,essay,682,en
EN_4_43,essay,308,en
EN_4_44,essay,517,en
EN_4_47,essay,1253,en
EN_4_7,essay,387,en
EN_5_5,essay,556,en
EN_5_6,essay,194,en
EN_6_1,essay,689,en
EN_6_10,essay,1707,en
RU_1_177,essay,597,ru
RU_1_310,essay,383,ru
RU_2_6,essay,199,ru
RU_6_11,essay,263,ru
RU_6_20,essay,248,ru
EN_1_73,fiction,206,en
EN_4_27,fiction,488,en
EN_4_28,fiction,478,en
EN_4_8,fiction,138,en
EN_4_9,fiction,129,en
EN_6_4,fiction,479,en
EN_6_6,fiction,81,en
EN_6_7,fiction,80,en
EN_6_8,fiction,129,en
RU_4_23,fiction,97,ru
RU_4_24,fiction,89,ru
EN_1_10,informational,236,en
EN_1_100,informational,753,en
EN_1_102,informational,200,en
EN_1_106,informational,99,en
EN_1_110,informational,114,en
EN_1_113,informational,97,en
EN_1_114,informational,395,en
EN_1_116,informational,258,en
EN_1_120,informational,345,en
EN_1_121,informational,279,en
EN_1_122,informational,332,en
EN_1_123,informational,415,en
EN_1_124,informational,460,en
EN_1_133,informational,723,en
EN_1_137,informational,7980,en
EN_1_144,informational,186,en
EN_1_145,informational,300,en
EN_1_151,informational,419,en
EN_1_155,informational,260,en
EN_1_171,informational,279,en
EN_1_172,informational,483,en
EN_1_18,informational,518,en
EN_1_191 ,informational,334,en
EN_1_193,informational,457,en
EN_1_194,informational,474,en
EN_1_197,informational,405,en
EN_1_198,informational,356,en
EN_1_201,informational,270,en
EN_1_227,informational,252,en
EN_1_228,informational,308,en
EN_1_24,informational,665,en
EN_1_242,informational,323,en
EN_1_244,informational,388,en
EN_1_246,informational,285,en
EN_1_27,informational,164,en
EN_1_270,informational,488,en
EN_1_274,informational,339,en
EN_1_28,informational,341,en
EN_1_291,informational,475,en
EN_1_297,informational,398,en
EN_1_303,informational,440,en
EN_1_308,informational,344,en
EN_1_309,informational,365,en
EN_1_313,informational,452,en
EN_1_314,informational,836,en
EN_1_316,informational,621,en
EN_1_317,informational,403,en
EN_1_32,informational,186,en
EN_1_36,informational,247,en
EN_1_40,informational,430,en
EN_1_41,informational,312,en
EN_1_42,informational,310,en
EN_1_43,informational,402,en
EN_1_44,informational,539,en
EN_1_45,informational,518,en
EN_1_46,informational,844,en
EN_1_47,informational,255,en
EN_1_48,informational,600,en
EN_1_49,informational,1126,en
EN_1_52,informational,296,en
EN_1_53,informational,268,en
EN_1_54,informational,299,en
EN_1_55,informational,281,en
EN_1_56,informational,393,en
EN_1_57,informational,514,en
EN_1_58,informational,733,en
EN_1_59,informational,139,en
EN_1_60,informational,283,en
EN_1_65,informational,1406,en
EN_1_68,informational,1508,en
EN_1_69,informational,1933,en
EN_1_70,informational,125,en
EN_1_71,informational,157,en
EN_1_72,informational,182,en
EN_1_78,informational,171,en
EN_1_80,informational,247,en
EN_1_85,informational,584,en
EN_1_97,informational,503,en
EN_1_99,informational,10337,en
EN_2_7,informational,250,en
EN_3_10,informational,480,en
EN_3_4,informational,605,en
EN_4_25,informational,535,en
EN_4_26,informational,551,en
EN_4_45,informational,960,en
EN_4_5,informational,390,en
EN_6_22,informational,277,en
EN_6_5,informational,242,en
RU_1_149,informational,225,ru
RU_1_195,informational,291,ru
RU_1_214,informational,329,ru
RU_1_215,informational,196,ru
RU_1_216,informational,272,ru
RU_1_217,informational,228,ru
RU_1_218,informational,208,ru
RU_1_219,informational,214,ru
RU_1_220,informational,266,ru
RU_1_221,informational,209,ru
RU_1_222,informational,241,ru
RU_1_223,informational,328,ru
RU_1_224,informational,239,ru
RU_1_225,informational,317,ru
RU_1_226,informational,156,ru
RU_1_236,informational,1311,ru
RU_1_272,informational,323,ru
RU_1_275,informational,316,ru
RU_1_276,informational,588,ru
RU_1_277,informational,393,ru
RU_1_279,informational,612,ru
RU_1_280,informational,762,ru
RU_1_281,informational,39,ru
RU_1_282,informational,380,ru
RU_1_301,informational,343,ru
RU_1_35,informational,498,ru
RU_4_22,informational,528,ru
RU_4_29,informational,310,ru
RU_5_12,informational,93,ru
RU_6_12,informational,277,ru
RU_6_13,informational,154,ru
RU_6_14,informational,162,ru
RU_6_15,informational,173,ru
RU_6_21,informational,170,ru
EN_1_202,interview,586,en
EN_1_21,interview,1332,en
EN_1_9,interview,654,en
EN_1_109,letters,92,en
EN_1_17,letters,569,en
EN_1_37,letters,988,en
RU _1_163 ,letters,272,ru
RU_1_287,letters,156,ru
EN_1_150,review,363,en
EN_1_271,review,535,en
EN_1_119,speech,491,en
EN_1_14,speech,602,en
EN_1_15,speech,474,en
EN_1_188,speech,489,en
EN_1_189,speech,507,en
EN_1_192,speech,308,en
EN_1_231,speech,651,en
EN_1_232,speech,356,en
EN_1_234,speech,391,en
EN_1_238,speech,376,en
EN_1_239,speech,401,en
EN_1_268,speech,501,en
RU_1_117,speech,447,ru
RU_1_118,speech,443,ru
RU_1_173,speech,620,ru
RU_1_183,speech,347,ru
RU_1_229,speech,500,ru
RU_1_230,speech,420,ru
RU_1_267,speech,348,ru
RU_1_269,speech,506,ru
RU_2_1,speech,289,ru
RU_2_2,speech,351,ru
RU_2_3,speech,357,ru
RU_2_4,speech,421,ru
RU_2_5,speech,334,ru
RU_4_30,speech,323,ru
RU_6_19,speech,448,ru
EN_1_105,tech,91,en
EN_1_107,tech,116,en
EN_1_108,tech,103,en
EN_1_141,tech,7511,en
EN_1_16,tech,328,en
EN_1_161 ,tech,771,en
EN_1_162,tech,2367,en
EN_1_164,tech,3173,en
EN_1_165,tech,1464,en
EN_1_166,tech,576,en
EN_1_167,tech,5460,en
EN_1_168,tech,4338,en
EN_1_199,tech,367,en
EN_1_38,tech,1292,en
EN_1_87,tech,9727,en
EN_6_23,tech,6789,en
RU_1_62,tech,350,ru
RU_1_63,tech,454,ru
RU_6_16,tech,186,ru
RU_6_17,tech,198,ru
RU_6_18,tech,346,ru
